year,total_flights,coverage,status,source,source_url,notes
1970,9448300,full_year,actual,World Bank WDI IS.AIR.DPRT / ICAO,https://data.worldbank.org/indicator/IS.AIR.DPRT,Air transport registered carrier departures worldwide; World/WLD row
1971,9504500,full_year,actual,World Bank WDI IS.AIR.DPRT / ICAO,https://data.worldbank.org/indicator/IS.AIR.DPRT,Air transport registered carrier departures worldwide; World/WLD row
1973,9764900,full_year,actual,World Bank WDI IS.AIR.DPRT / ICAO,https://data.worldbank.org/indicator/IS.AIR.DPRT,Air transport registered carrier departures worldwide; World/WLD row
1974,9254900,full_year,actual,World Bank WDI IS.AIR.DPRT / ICAO,https://data.worldbank.org/indicator/IS.AIR.DPRT,Air transport registered carrier departures worldwide; World/WLD row
1975,9244700,full_year,actual,World Bank WDI IS.AIR.DPRT / ICAO,https://data.worldbank.org/indicator/IS.AIR.DPRT,Air transport registered carrier departures worldwide; World/WLD row
1976,9562900,full_year,actual,World Bank WDI IS.AIR.DPRT / ICAO,https://data.worldbank.org/indicator/IS.AIR.DPRT,Air transport registered carrier departures worldwide; World/WLD row
1977,9915900,full_year,actual,World Bank WDI IS.AIR.DPRT / ICAO,https://data.worldbank.org/indicator/IS.AIR.DPRT,Air transport registered carrier departures worldwide; World/WLD row
1978,10183700,full_year,actual,World Bank WDI IS.AIR.DPRT / ICAO,https://data.worldbank.org/indicator/IS.AIR.DPRT,Air transport registered carrier departures worldwide; World/WLD row
1979,10653400,full_year,actual,World Bank WDI IS.AIR.DPRT / ICAO,https://data.worldbank.org/indicator/IS.AIR.DPRT,Air transport registered carrier departures worldwide; World/WLD row
1980,10704900,full_year,actual,World Bank WDI IS.AIR.DPRT / ICAO,https://data.worldbank.org/indicator/IS.AIR.DPRT,Air transport registered carrier departures worldwide; World/WLD row
1981,10270100,full_year,actual,World Bank WDI IS.AIR.DPRT / ICAO,https://data.worldbank.org/indicator/IS.AIR.DPRT,Air transport registered carrier departures worldwide; World/WLD row
1982,10335800,full_year,actual,World Bank WDI IS.AIR.DPRT / ICAO,https://data.worldbank.org/indicator/IS.AIR.DPRT,Air transport registered carrier departures worldwide; World/WLD row
1983,10758700,full_year,actual,World Bank WDI IS.AIR.DPRT / ICAO,https://data.worldbank.org/indicator/IS.AIR.DPRT,Air transport registered carrier departures worldwide; World/WLD row
1984,11404000,full_year,actual,World Bank WDI IS.AIR.DPRT / ICAO,https://data.worldbank.org/indicator/IS.AIR.DPRT,Air transport registered carrier departures worldwide; World/WLD row
1985,11897900,full_year,actual,World Bank WDI IS.AIR.DPRT / ICAO,https://data.worldbank.org/indicator/IS.AIR.DPRT,Air transport registered carrier departures worldwide; World/WLD row
1986,12677000,full_year,actual,World Bank WDI IS.AIR.DPRT / ICAO,https://data.worldbank.org/indicator/IS.AIR.DPRT,Air transport registered carrier departures worldwide; World/WLD row
1987,13244800,full_year,actual,World Bank WDI IS.AIR.DPRT / ICAO,https://data.worldbank.org/indicator/IS.AIR.DPRT,Air transport registered carrier departures worldwide; World/WLD row
1988,13880900,full_year,actual,World Bank WDI IS.AIR.DPRT / ICAO,https://data.worldbank.org/indicator/IS.AIR.DPRT,Air transport registered carrier departures worldwide; World/WLD row
1989,14021100,full_year,actual,World Bank WDI IS.AIR.DPRT / ICAO,https://data.worldbank.org/indicator/IS.AIR.DPRT,Air transport registered carrier departures worldwide; World/WLD row
1990,14583900,full_year,actual,World Bank WDI IS.AIR.DPRT / ICAO,https://data.worldbank.org/indicator/IS.AIR.DPRT,Air transport registered carrier departures worldwide; World/WLD row
1991,14360900,full_year,actual,World Bank WDI IS.AIR.DPRT / ICAO,https://data.worldbank.org/indicator/IS.AIR.DPRT,Air transport registered carrier departures worldwide; World/WLD row
1992,14918800,full_year,actual,World Bank WDI IS.AIR.DPRT / ICAO,https://data.worldbank.org/indicator/IS.AIR.DPRT,Air transport registered carrier departures worldwide; World/WLD row
1993,15986200,full_year,actual,World Bank WDI IS.AIR.DPRT / ICAO,https://data.worldbank.org/indicator/IS.AIR.DPRT,Air transport registered carrier departures worldwide; World/WLD row
